From	Entry	Entry Name	Protein names	Gene Names	Gene Names (synonym)	PubMed ID
Q6P3L6	Q6P3L6	DH12A_DANRE	Very-long-chain 3-oxoacyl-CoA reductase-A (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12-A) (17-beta-HSD 12-A) (zf3.1) (zfHSD17B12A) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12-A) (EC 1.1.1.62)	hsd17b12a zgc:55589		15026171
Q7ZUN4	Q6P3L6	DH12A_DANRE	Very-long-chain 3-oxoacyl-CoA reductase-A (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12-A) (17-beta-HSD 12-A) (zf3.1) (zfHSD17B12A) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12-A) (EC 1.1.1.62)	hsd17b12a zgc:55589		15026171
Q4V9D8	Q4V9D8	Q4V9D8_DANRE	RAS-related (Related RAS viral (R-ras) oncogene homolog) (Rras protein)	zgc:92588 fb23a02 wu:fb23a02 wu:fj98h09 rras	fb23a02 wu:fb23a02 wu:fj98h09	19240133; 21262462; 23594743; 24926785; 26469318; 27189481; 28252024; 29772239
Q802Z5	Q802Z5	Q802Z5_DANRE	Non-POU domain-containing octamer-binding protein (Non-POU domain-containing, octamer-binding)	wu:fb40d10 wu:fc11d05 nono	wu:fc11d05	11748827; 15520368; 20034102; 23594743; 24418681; 25533962; 27189481; 28441764; 28252024; 29258955; 30755680
A2BGQ1	A2BGQ1	A2BGQ1_DANRE	deleted			
F1QU59	F1QU59	F1QU59_DANRE	Zinc finger protein 622	znf622		23594743
Q503B7	Q503B7	B9D1_DANRE	B9 domain-containing protein 1	b9d1 zgc:110733		
F1QX75	F1QX75	F1QX75_DANRE	deleted			
E7FDX9	E7FDX9	E7FDX9_DANRE	Kinesin family member 26Ba (Kinesin-like protein KIF26B)	kif26ba		23594743
Q566S7	Q566S7	Q566S7_DANRE	Small ribosomal subunit protein mS40 (28S ribosomal protein S18-2, mitochondrial) (28S ribosomal protein S18b, mitochondrial)	wu:fj45h02 zgc:112517 mrps18b	zgc:112517	16271140; 17251491; 23283723; 23594743; 26469318; 27189481; 29354154
Q7ZVE5	Q7ZVE5	Q7ZVE5_DANRE	ATP synthase lipid-binding protein (ATPase protein 9) (ATPase subunit c)	atp5g atp5g3b atpp3 cb327 atp5mc3b	atp5g3b atpp3 cb327	20160088; 23594743; 25758222; 26469318
F1QV11	F1QV11	F1QV11_DANRE	deleted			
Q6PC36	Q6PC36	Q6PC36_DANRE	Adaptin ear-binding coat-associated protein 1 (NECAP endocytosis-associated protein 1)	zgc:73124 necap1		23594743; 26469318; 27189481; 28252024
F1QFX3	F1QFX3	F1QFX3_DANRE	deleted			
F1QQD3	F1QQD3	F1QQD3_DANRE	deleted			
Q5RH87	Q5RH87	Q5RH87_DANRE	ATP-binding cassette sub-family C member 9 (ATP-binding cassette, sub-family C (CFTR/MRP), member 9)	si:dkey-183c2.3 sur2 abcc9	sur2	16124856; 16631343; 16317080; 23594743; 24836561; 26047617; 25583992; 26469318; 28386438; 28694436; 30355756
Q7ZV27	Q7ZV27	Q7ZV27_DANRE	ATP synthase subunit s, mitochondrial (EC 3.6.1.14) (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s) (Distal membrane arm assembly component 2-like)	atp5s zgc:56257 dmac2l	zgc:56257	23594743; 26469318; 29021367; 28252024
Q8AWD0	Q8AWD0	Q8AWD0_DANRE	Voltage-dependent anion-selective channel protein 2	wu:fa01a08 wu:fa98a10 wu:fb50g11 zgc:55795 zgc:77621 vdac2	wu:fa98a10 wu:fb50g11 zgc:55795 zgc:77621	15693615; 15520368; 16978605; 20528263; 21947502; 23594743; 24627492; 25588501; 26509634; 26469318; 28138518; 28252024
A0A0R4IW20	Q7ZVE4	Q7ZVE4_DANRE	Synaptosomal-associated protein	snap23.1 zgc:56072		19240133; 22421042; 23594743; 26469318; 27189481; 29180615; 28252024; 30718891
Q7ZVE4	Q7ZVE4	Q7ZVE4_DANRE	Synaptosomal-associated protein	snap23.1 zgc:56072		19240133; 22421042; 23594743; 26469318; 27189481; 29180615; 28252024; 30718891
Q0P3U7	Q0P3U7	Q0P3U7_DANRE	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7-like precursor (Zgc:153896)	si:ch211-225l4.2 zgc:153896		22297719; 23594743; 28502661
Q6PH62	Q6PH62	Q6PH62_DANRE	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox)	zgc:66077 cyba		17612411; 17900370; 19494811; 23072875; 23594743; 25603810; 25488917; 24835391; 26469318; 27189481; 29866703
B3DIV8	B3DIV8	B3DIV8_DANRE	deleted			
F1QUS4	F1QUS4	F1QUS4_DANRE	deleted			
A5PMR2	A5PMR2	UBP33_DANRE	Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33)	usp33 ch211-284g18.1		23594743
Q6NYK6	A5PMR2	UBP33_DANRE	Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33)	usp33 ch211-284g18.1		23594743
B3DFW4	B3DFW4	B3DFW4_DANRE	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1)	LOC565099 zgc:193713 zgc:193725 npc2.2	zgc:193713 zgc:193725	12477932; 23594743
A2CG09	A2CG09	A2CG09_DANRE	Histone acetyltransferase (EC 2.3.1.48)	myst3 bmd moz kat6a	bmd moz	15128673; 16759393; 16774997; 18469222; 24240475; 23594743; 26555055; 26469318; 30615915
A8DZG7	A8DZG7	A8DZG7_DANRE	deleted			
F1QSJ9	F1QSJ9	F1QSJ9_DANRE	Integrin alpha-M-like (Si:dkey-32n7.4)	si:dkey-32n7.4 itgam.1		23594743
X1WH45	F1QSJ9	F1QSJ9_DANRE	Integrin alpha-M-like (Si:dkey-32n7.4)	si:dkey-32n7.4 itgam.1		23594743
F1QSJ6	F1QSJ6	F1QSJ6_DANRE	Sodium/hydrogen exchanger	fv47b07 wu:fv47b07 zgc:163055 slc9a6a	wu:fv47b07 zgc:163055	23594743; 25792259; 28252024
Q6NYE6	Q6NYE6	Q6NYE6_DANRE	NADH-cytochrome b5 reductase (EC 1.6.2.2)	fc32h03 wu:fc32h03 zgc:77071 cyb5r3	wu:fc32h03 zgc:77071	16109975; 24103751; 23594743; 24947308; 26499117; 26469318; 28252024
Q6AXI7	Q6AXI7	Q6AXI7_DANRE	short-chain acyl-CoA dehydrogenase (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	fc44c01 wu:fc44c01 zgc:92400 acads	wu:fc44c01 zgc:92400	16109975; 22047996; 23791553; 23594743; 26469318; 28252024; 29437557
B8JIL3	B8JIL3	B8JIL3_DANRE	deleted			
Q7SZC7	Q7SZC7	Q7SZC7_DANRE	Membrane-associated progesterone receptor component 2 (Progesterone receptor membrane component 2)	wu:fb25g12 wu:fd12f11 zgc:56692 pgrmc2	wu:fd12f11 zgc:56692	17022405; 18307296; 23594743; 28252024; 30061596
A2BGP5	A2BGP5	A2BGP5_DANRE	Elastase 3 like isoform X2 (Elastase 3-like)	ela2al elaA elastaseA fd58f03 wu:fd58f03 zgc:109943 ela3l	elaA elastaseA fd58f03 wu:fd58f03 zgc:109943	23594743
F1QSP4	F1QSP4	F1QSP4_DANRE	V-type proton ATPase proteolipid subunit	CHUNP6904 atp6l atp6v0c cb993 fb57d09 wu:fb57d09 atp6v0ca	atp6l atp6v0c cb993 fb57d09 wu:fb57d09	15716491; 17375188; 18356958; 20333216; 18836173; 23594743; 26469318; 27189481; 27875093; 28252024; 29259843
Q4V962	Q6P3K7	KC1DB_DANRE	Casein kinase I isoform delta-B (CKI-delta-B) (CKId-B) (EC 2.7.11.1)	csnk1db		18064361
Q6P3K7	Q6P3K7	KC1DB_DANRE	Casein kinase I isoform delta-B (CKI-delta-B) (CKId-B) (EC 2.7.11.1)	csnk1db		18064361
Q8UVC1	Q8UVC1	INVS_DANRE	Inversin	invs		11941489; 12872123; 15852005
Q1LY62	Q1LY62	Q1LY62_DANRE	Dual specificity mitogen-activated protein kinase kinase 2 (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2)	map2k2 fa56c06 mek2 wu:fa56c06 zgc:123171 map2k2a	fa56c06 mek2 wu:fa56c06 zgc:123171	18419805; 18550893; 19500364; 21729876; 22412924; 23594743; 26924692; 26590317; 28353145; 28252024; 30419398
F1QTT5	F1QTT5	F1QTT5_DANRE	deleted			
F1QTT0	F1QTT0	F1QTT0_DANRE	deleted			
A5PM59	A5PN09	UBP20_DANRE	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20)	usp20 dkey-125i20.3		23594743
A5PN09	A5PN09	UBP20_DANRE	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20)	usp20 dkey-125i20.3		23594743
O57521	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	hsp90b	10364427; 17586488; 7980538; 8652412
Q6P0Y9	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	hsp90b	10364427; 17586488; 7980538; 8652412
Q90475	O57521	HS90B_DANRE	Heat shock protein HSP 90-beta	hsp90ab1 hsp90b	hsp90b	10364427; 17586488; 7980538; 8652412
Q6P950	Q6P950	PR3CB_DANRE	Protein phosphatase 1 regulatory subunit 3C-B	ppp1r3cb zgc:73259		
F1QTR3	F1QTR3	F1QTR3_DANRE	deleted			
F1QT47	F1QT47	F1QT47_DANRE	deleted			
F1QFP1	F1QFP1	F1QFP1_DANRE	deleted			
Q6AXJ1	Q6J0N1	Q6J0N1_DANRE	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 313)	Zfp313 zgc:101076 znf313 rnf114	zgc:101076 znf313	12621547; 14655014; 23594743; 24683187; 26469318; 27189481
Q6J0N1	Q6J0N1	Q6J0N1_DANRE	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 313)	Zfp313 zgc:101076 znf313 rnf114	zgc:101076 znf313	12621547; 14655014; 23594743; 24683187; 26469318; 27189481
F1QDJ9	F1QDJ9	F1QDJ9_DANRE	deleted			
F1QMY2	F1QMY2	F1QMY2_DANRE	deleted			
Q5RJ97	Q5RJ97	Q5RJ97_DANRE	deleted			
Q5BL99	Q5BL99	Q5BL99_DANRE	Dynein light chain	dynll2b cb741 dlc-1 dnl2 dnl2l dynll2a zgc:110812 zgc:66081	cb741 dlc-1 dnl2 dnl2l dynll2a zgc:110812 zgc:66081	17703193; 18507824; 21052758; 23594743; 26469318; 27189481; 26658217
Q0PWB8	Q0PWB8	Q0PWB8_DANRE	PDZ and LIM domain protein 3	pdlim3 alp hm:zeh1190 sb:eu571 pdlim3b DKEY-276L17.2-001	alp hm:zeh1190 sb:eu571	11116087; 17045553; 23594743; 25583992; 27189481; 30947959
Q6P037	Q7ZWF0	RAE1L_DANRE	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	rae1 mrnp41	mrnp41	
Q7ZWF0	Q7ZWF0	RAE1L_DANRE	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	rae1 mrnp41	mrnp41	
Q8JIR5	Q8JIS6	TBX6_DANRE	T-box transcription factor TBX6 (T-box protein 6) (T-box transcription factor TBX24) (T-box protein 24)	tbx6 tbx24	tbx24	12021786; 23594743
Q8JIS6	Q8JIS6	TBX6_DANRE	T-box transcription factor TBX6 (T-box protein 6) (T-box transcription factor TBX24) (T-box protein 24)	tbx6 tbx24	tbx24	12021786; 23594743
B0JZJ5	F1QJF4	RORAB_DANRE	Nuclear receptor ROR-alpha B (Retinoid-related orphan receptor alpha 1) (Retinoid-related orphan receptor-alpha B)	rorab rora1	rora1	23594743; 17685489
F1QJF4	F1QJF4	RORAB_DANRE	Nuclear receptor ROR-alpha B (Retinoid-related orphan receptor alpha 1) (Retinoid-related orphan receptor-alpha B)	rorab rora1	rora1	23594743; 17685489
Q7ZU39	F1QJF4	RORAB_DANRE	Nuclear receptor ROR-alpha B (Retinoid-related orphan receptor alpha 1) (Retinoid-related orphan receptor-alpha B)	rorab rora1	rora1	23594743; 17685489
F1QJE0	F1QJE0	F1QJE0_DANRE	Ubiquinol-cytochrome c reductase core protein 2a (Ubiquinol-cytochrome c reductase core protein II (EC 1.10.2.2))	fb33d01 fc43c05 wu:fb33d01 wu:fc43c05 zgc:92453 uqcrc2a	fc43c05 wu:fb33d01 wu:fc43c05 zgc:92453	18971206; 23594743; 26469318; 28252024
F1QJB6	F1QJB6	F1QJB6_DANRE	non-specific serine/threonine protein kinase (EC 2.7.11.1)	atm		23594743
F1QJB3	F1QJB3	F1QJB3_DANRE	Complement C2 (Si:ch1073-280e3.1)	si:ch1073-280e3.1		23594743
Q92052	Q92052	CXG1_DANRE	Gap junction gamma-1 protein (Connexin-43.4) (Cx43.4) (Gap junction alpha-7 protein)	gjc1 cx43.4 gja7	cx43.4 gja7	8806823
Q92053	Q92052	CXG1_DANRE	Gap junction gamma-1 protein (Connexin-43.4) (Cx43.4) (Gap junction alpha-7 protein)	gjc1 cx43.4 gja7	cx43.4 gja7	8806823
Q5RGB7	Q5RGB7	Q5RGB7_DANRE	deleted			
F1QH64	F1QH64	F1QH64_DANRE	deleted			
Q6DH33	Q6DH33	Q6DH33_DANRE	COMM domain-containing 2 (COMM domain-containing protein 2)	wu:fb12e01 zgc:92665 commd2	zgc:92665	12477932; 23594743; 26469318
Q1RLX1	Q1RLX1	Q1RLX1_DANRE	receptor protein serine/threonine kinase (EC 2.7.11.30)	zgc:136731 alk3 alk3tr BMPR-IA bmpr1a BR1a bmpr1aa	alk3 alk3tr BMPR-IA bmpr1a BR1a	10223708; 16051172; 15978047; 15817226; 16456708; 23594743; 30157643; 30324105; 30692543; 30814609; 30867839
Q6P3G1	Q6P3G1	Q6P3G1_DANRE	deleted			
Q7ZW68	Q7ZW68	Q7ZW68_DANRE	NF-kappa-B inhibitor alpha (I-kappa-B-alpha)	NFKBIA ikbaB wu:fb81f08 zgc:56666 zgc:77616 nfkbiab	ikbaB wu:fb81f08 zgc:56666 zgc:77616	15169890; 16051172; 16109975; 17442590; 21439961; 23594743; 30265984; 29454830; 29422865; 29659823; 29871925
Q4V9B4	Q66HY7	IF4E3_DANRE	Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF-4E3) (eIF4E type 3) (eIF4E-3)	eif4e3 zgc:92189		
Q66HY7	Q66HY7	IF4E3_DANRE	Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF-4E3) (eIF4E type 3) (eIF4E-3)	eif4e3 zgc:92189		
Q6IQN0	Q6ZM19	IF6_DANRE	Eukaryotic translation initiation factor 6 (eIF-6)	eif6 si:ch211-239j9.6		15520368; 23594743
Q6ZM19	Q6ZM19	IF6_DANRE	Eukaryotic translation initiation factor 6 (eIF-6)	eif6 si:ch211-239j9.6		15520368; 23594743
Q7ZWC1	Q6ZM19	IF6_DANRE	Eukaryotic translation initiation factor 6 (eIF-6)	eif6 si:ch211-239j9.6		15520368; 23594743
Q7ZUQ3	Q7ZUQ3	STK3_DANRE	Serine/threonine-protein kinase 3 (EC 2.7.11.1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	stk3 zgc:55383		
Q5U3V3	Q5U3V3	Q5U3V3_DANRE	PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12)	prdm12b zgc:101606		21787765; 23684812; 24240475; 23594743; 24248357; 24631215; 26469318; 27009152; 27189481; 30458291; 30813944
A8E7B8	A8E7B8	A8E7B8_DANRE	Anti-Mullerian hormone (Muellerian-inhibiting factor isoform X1)	amh		23594743
Q7SZQ6	Q7SZQ6	Q7SZQ6_DANRE	Rho GDP dissociation inhibitor (GDI) gamma (Rho GDP-dissociation inhibitor 2)	ARHGDIB zgc:65966 arhgdig	zgc:65966	16458082; 23594743; 24926785; 26469318
Q567Z7	Q567Z7	BUD31_DANRE	Protein BUD31 homolog (Protein G10 homolog)	bud31 zgc:110615		15256591
Q6DRN2	Q567Z7	BUD31_DANRE	Protein BUD31 homolog (Protein G10 homolog)	bud31 zgc:110615		15256591
F1QE25	F1QE25	F1QE25_DANRE	N-alpha-acetyltransferase 15, NatA auxiliary subunit	narg1a wu:fc06f11 wu:fc23c05 zgc:66136 naa15a	wu:fc06f11 wu:fc23c05 zgc:66136	16109975; 23594743; 26469318; 27189481; 30061596; 30502388; 30755680
F1QE24	F1QE24	F1QE24_DANRE	deleted			
A2BG67	A2BG67	A2BG67_DANRE	Krueppel-like factor 3 (Kruppel-like factor 3 (basic))	klf12 klf3		15378083; 21144052; 23594743; 25277163; 24706895; 26015096; 25434820; 28032601
M9MM94	A0A8M1NJX9	A0A8M1NJX9_DANRE	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B (Semaphorin-3B isoform X1) (Semaphorin-3B precursor)	si:ch211-106g4.2 sema3b		21873635; 23594743; 30661757
Q7T3D1	Q7T3D1	ERO1A_DANRE	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase alpha) (Endoplasmic reticulum oxidoreductin-1-like protein) (Oxidoreductin-1-L-alpha)	ero1a ero1l	ero1l	
F1QIE2	F1QIE2	F1QIE2_DANRE	MARVEL domain-containing 2a (MARVEL domain-containing protein 2)	marveld2a		23594743
Q6T9C3	Q6T9C3	Q6T9C3_DANRE	RGS12TS (Regulator of G protein-signaling 12b) (Regulator of G-protein signaling 12)	RGS12TS cb958 rgs12 RGS12TS-I RGS12TS-L RGS12TS-S rgs12b	cb958 rgs12 RGS12TS-I RGS12TS-L RGS12TS-S	23594743; 26469318; 27189481; 28252024
A8KC00	A8KC00	A8KC00_DANRE	Aga protein (Aspartylglucosaminidase) (N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase precursor (EC 3.5.1.26))	zgc:77327 aga		23594743; 25014315
A5PMY4	A5PMY4	A5PMY4_DANRE	deleted			
A5WVU1	A5WVU1	A5WVU1_DANRE	deleted			
F1QHM9	F1QHM9	F1QHM9_DANRE	Cryptochrome circadian clock 5 isoform X1 (Cryptochrome circadian regulator 5)	z6-4phr z64phr cry5	z64phr	23594743
A0FJI6	Q5RH95	RSAD2_DANRE	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2 (SAND) (Radical S-adenosyl methionine domain-containing protein 2) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible) (Viperin)	rsad2 vig1 si:ch211-276e8.2 zgc:112342	vig1	17371995; 23594743; 36387278
Q5RH95	Q5RH95	RSAD2_DANRE	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2 (SAND) (Radical S-adenosyl methionine domain-containing protein 2) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible) (Viperin)	rsad2 vig1 si:ch211-276e8.2 zgc:112342	vig1	17371995; 23594743; 36387278
Q1LWP9	Q1LWP9	Q1LWP9_DANRE	Sialidase-1 (EC 3.2.1.18) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	si:ch211-222e23.1 neu1 CH211-222E23.1-001		17708749; 23032629; 23594743; 26469318; 27189481; 30399334; 30405127
Q6P943	Q6P943	Q6P943_DANRE	deleted			
Q6DRC0	Q6DRC0	SYSC_DANRE	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS)	sars1 sars	sars	19423848; 15256591; 23594743; 19423847; 22353712; 24940000
Q6NYD8	Q6NYD8	Q6NYD8_DANRE	deleted			
Q58EG2	Q58EG2	ERLN1_DANRE	Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1)	erlin1 si:ch211-223p8.2 zgc:110547		23594743
Q1RLZ2	Q1RLZ2	Q1RLZ2_DANRE	non-specific serine/threonine protein kinase (EC 2.7.11.1)	zgc:136670 dZ150L22.2 map4k2l map4k2l-2 map4k3l si:dz150l22.2 si:dz263j20.1 map4k2	dZ150L22.2 map4k2l map4k2l-2 map4k3l si:dz150l22.2 si:dz263j20.1	18565225; 21729876; 23594743; 26469318
B8JIQ0	B8JIQ0	B8JIQ0_DANRE	deleted			
Q66JN5	Q66JN5	Q66JN5_DANRE	Paraoxonase (EC 3.1.1.2)	zgc:91887 pon1		23594743; 26469318; 26876635
Q6PBY8	Q6PBY8	Q6PBY8_DANRE	S-phase kinase-associated protein 1	skp1a zgc:73186 skp1	zgc:73186	15256591; 15765502; 16109975; 21572392; 23594743; 25535281; 26469318; 28252024; 30267710
A1L1Y2	Q9YH90	CLDZ_DANRE	Claudin-like protein ZF-A9 (Claudin g)	cldng		
Q9YH90	Q9YH90	CLDZ_DANRE	Claudin-like protein ZF-A9 (Claudin g)	cldng		
F1QIB5	F1QIB5	F1QIB5_DANRE	Ras-related GTP-binding protein	zgc:162165 rragd		21857967; 23594743; 23469178; 26015096; 26469318; 27189481; 28592872; 29670865
A2BGL0	A2BGL0	A2BGL0_DANRE	polynucleotide adenylyltransferase (EC 2.7.7.19)	zgc:63762 papolg		23594743
A9C3Q6	A9C3Q6	A9C3Q6_DANRE	deleted			
Q90Z40	Q90Z40	Q90Z40_DANRE	Guanine nucleotide-binding protein subunit gamma	[g]3 wu:fj56b02 zgc:92852 gng3	wu:fj56b02 zgc:92852	11378305; 19500364; 19786091; 23594743; 26469318; 27189481; 26982811; 28252024
Q5TYT6	Q5TYT6	Q5TYT6_DANRE	deleted			
Q7ZYW7	Q7ZYW7	Q7ZYW7_DANRE	ATP synthase lipid-binding protein (ATPase protein 9) (ATPase subunit c)	zgc:55970 ATP5G3 atp5g3a zgc:86872 atp5mc3a	ATP5G3 atp5g3a zgc:86872	20160088; 23594743; 26469318; 27189481; 27974754
A1A5T2	A1A5T2	A1A5T2_DANRE	Phosphatidylserine decarboxylase proenzyme, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase beta chain; Phosphatidylserine decarboxylase alpha chain]	zgc:158135 fd05a08 PISD wu:fd05a08 pisd	fd05a08 PISD wu:fd05a08	16466575; 23594743; 27189481; 28252024
A3KDM3	A3KDM3	A3KDM3_DANRE	CTR9 homolog, Paf1/RNA polymerase II complex component (RNA polymerase-associated protein CTR9 homolog)	fc54a06 wu:fc54a06 ctr9	wu:fc54a06	15533793; 17721442; 20603019; 21338598; 23299975; 23594743; 26469318
Q803J6	Q803J6	Q803J6_DANRE	Sdcbp protein (Syndecan binding protein) (Syndecan-binding protein (syntenin) 2) (Syntenin-1)	sdcbp SDCBP wu:fc51c03 wu:fk31e01 zgc:55679 zgc:77716 sdcbp2	SDCBP wu:fc51c03 wu:fk31e01 zgc:55679 zgc:77716	15520368; 15994372; 16109975; 18086703; 19389629; 22399807; 23607754; 23594743; 28252024; 30383201
A8WI00	A8WI00	A8WI00_DANRE	Signal transducing adapter molecule 2 (Signal transducing adaptor molecule (SH3 domain and ITAM motif) 2)	zgc:103628 stam2		19035348; 23594743; 26469318; 28252024
F1Q6L2	A0A8M3B4P7	A0A8M3B4P7_DANRE	Plexin-B3	plxnb3		23594743
Q5XJJ6	Q5XJJ6	Q5XJJ6_DANRE	Calcium binding protein 1 (Calcium-binding protein 1 isoform 1) (Calcium-binding protein 1a)	cabp1 zgc:101878 cabp1a	zgc:101878	23594743; 23341937; 27189481
F2Z4U3	F2Z4U3	F2Z4U3_DANRE	Protein wntless homolog (Wnt ligand secretion mediator)	gpr117 gpr177 id:ibd2010 sb:cb610 wu:fb36d04 wu:fb44d10 wu:fb50c06 zgc:64091 wls	gpr177 id:ibd2010 sb:cb610 wu:fb36d04 wu:fb44d10 wu:fb50c06 zgc:64091	11731487; 20652957; 20571107; 21652651; 23594743; 25294025; 27189481; 27287801; 27908786; 28619821; 29192226
Q6TGZ5	Q6TGZ5	HPPD_DANRE	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	hpd zgc:56326		15520368
Q6IQS6	Q6IQS6	SAE1_DANRE	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A)	sae1 sae2a uble1a zgc:86633	sae2a uble1a	
B0V332	B0V332	B0V332_DANRE	deleted			
Q6IQQ0	Q6IQQ0	Q6IQQ0_DANRE	60S ribosomal protein L21	wu:fb13h07 wu:fc74e02 zgc:86669 rpl21	wu:fc74e02 zgc:86669	23594743; 23697888; 27189481; 28252024; 36653451
B8JJQ4	B8JJQ4	B8JJQ4_DANRE	Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Si:dkey-275b16.2)	LOC110440136 si:dkey-275b16.2 paox	si:dkey-275b16.2	23594743; 26469318; 28252024
F1QAR9	F1QAR9	F1QAR9_DANRE	deleted			
K4KE24	K4KE24	K4KE24_DANRE	deleted			
Q6NYE1	Q6NYE1	Q6NYE1_DANRE	Fibrinogen beta chain (Fibrinogen, B beta polypeptide)	wu:fa55c11 zgc:77116 fgb	zgc:77116	11116086; 15325340; 12949138; 18602103; 19084604; 23594743; 28252024; 28300160; 29658397; 29649779; 29274910
F1QAM8	F1QAM8	F1QAM8_DANRE	deleted			
Q7ZTY5	Q7ZTY5	Q7ZTY5_DANRE	eIF-2B GDP-GTP exchange factor subunit gamma	zgc:56473 eif2b3		24244857; 23594743; 26469318; 27189481; 26928226
F1QAL1	F1QAL1	F1QAL1_DANRE	NEDD1 gamma-tubulin ring complex targeting factor (Protein NEDD1 isoform X1)	fb78g03 wu:fb78g03 zgc:63491 nedd1	wu:fb78g03 zgc:63491	23594743
Q6P5J9	Q6P5J9	Q6P5J9_DANRE	Snurportin-1 (RNA U transporter 1)	rnut1 wu:fc41a03 zgc:77819 snupn	wu:fc41a03 zgc:77819	16109975; 23594743; 26469318
F1RCL3	F1RCL3	F1RCL3_DANRE	deleted			
Q5U3G1	Q5U3G1	COL11_DANRE	Collectin-11	colec11 zgc:103572		21258343
F1RCK9	F1RCK9	F1RCK9_DANRE	deleted			
E7FFM9	E7FFM9	E7FFM9_DANRE	Forkhead box protein K2 (Si:ch211-262e15.1)	si:ch211-262e15.1 foxk2b		23594743
E7FFM8	E7FFM8	E7FFM8_DANRE	deleted			
Q7SZC5	Q7SZC5	NDC1_DANRE	Nucleoporin NDC1 (Transmembrane protein 48)	ndc1 tmem48 zgc:55636	tmem48	
F1RCJ4	F1RCJ4	F1RCJ4_DANRE	deleted			
F1RCI6	F1RCI6	F1RCI6_DANRE	DNA polymerase epsilon subunit 4 isoform X1 (Polymerase (DNA-directed), epsilon 4, accessory subunit)	zgc:110337 pole4		23594743
F1RCH5	F1RCH5	F1RCH5_DANRE	deleted			
