From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology IDs
Q6IWL4	Q6IWL4	TRAF6_DANRE	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	traf6 si:dkey-56p7.3 zgc:63704	GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005938; GO:0008270; GO:0009615; GO:0009617; GO:0031625; GO:0032813; GO:0033209; GO:0038061; GO:0042981; GO:0043122; GO:0045087; GO:0045893; GO:0046330; GO:0051092; GO:0061630; GO:0070498; GO:0070534
Q7SXX1	Q6IWL4	TRAF6_DANRE	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	traf6 si:dkey-56p7.3 zgc:63704	GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005938; GO:0008270; GO:0009615; GO:0009617; GO:0031625; GO:0032813; GO:0033209; GO:0038061; GO:0042981; GO:0043122; GO:0045087; GO:0045893; GO:0046330; GO:0051092; GO:0061630; GO:0070498; GO:0070534
F1QHN6	F1QHN6	F1QHN6_DANRE	Polyubiquitin-C (Ubiquitin C)	im:7042025 wu:fb37h06 zgc:153686 ubc	GO:0003735; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625
B0R189	B0R189	B0R189_DANRE	deleted		
A0A0N4SUD2	A0A0N4SUD2	A0A0N4SUD2_DANRE	Polyubiquitin-B (Ubiquitin B)	Ubi-p63E im:6892314 si:ch211-202a12.3 ubc zgc:172187 zUBC ubb	GO:0016567; GO:0019941; GO:0031386; GO:0031625
Q7SXA3	Q7SXA3	Q7SXA3_DANRE	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80)	zgc:66168 hm:zeh0386 ik:tdsubc_1f2 tdsubc_1f2 xx:tdsubc_1f2 rps27a	GO:0003735; GO:0006412; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625
F1QFC0	F1QFC0	F1QFC0_DANRE	deleted		
Q804S5	Q804S5	MIB1_DANRE	E3 ubiquitin-protein ligase mib1 (EC 2.3.2.27) (Protein mind bomb) (RING-type E3 ubiquitin transferase mib1)	mib1 mib	GO:0000151; GO:0001568; GO:0001570; GO:0001756; GO:0001885; GO:0002040; GO:0002064; GO:0002090; GO:0002244; GO:0003407; GO:0003408; GO:0004842; GO:0005737; GO:0005815; GO:0005886; GO:0006897; GO:0007219; GO:0007368; GO:0007417; GO:0007420; GO:0007507; GO:0008270; GO:0008284; GO:0008593; GO:0009880; GO:0010001; GO:0016567; GO:0021508; GO:0021510; GO:0021514; GO:0021519; GO:0021520; GO:0021521; GO:0021536; GO:0021546; GO:0021654; GO:0021986; GO:0022008; GO:0030097; GO:0030139; GO:0030182; GO:0030318; GO:0030902; GO:0030903; GO:0031076; GO:0031398; GO:0031410; GO:0032991; GO:0035315; GO:0039022; GO:0042802; GO:0045664; GO:0045685; GO:0045747; GO:0048066; GO:0048259; GO:0048471; GO:0048514; GO:0048546; GO:0048663; GO:0048665; GO:0048666; GO:0048699; GO:0048793; GO:0048859; GO:0048892; GO:0048899; GO:0048916; GO:0048920; GO:0050931; GO:0051865; GO:0060035; GO:0060113; GO:0060216; GO:0060218; GO:0061195; GO:0061551; GO:0061630; GO:0070086; GO:0071599
Q8JHG3	Q804S5	MIB1_DANRE	E3 ubiquitin-protein ligase mib1 (EC 2.3.2.27) (Protein mind bomb) (RING-type E3 ubiquitin transferase mib1)	mib1 mib	GO:0000151; GO:0001568; GO:0001570; GO:0001756; GO:0001885; GO:0002040; GO:0002064; GO:0002090; GO:0002244; GO:0003407; GO:0003408; GO:0004842; GO:0005737; GO:0005815; GO:0005886; GO:0006897; GO:0007219; GO:0007368; GO:0007417; GO:0007420; GO:0007507; GO:0008270; GO:0008284; GO:0008593; GO:0009880; GO:0010001; GO:0016567; GO:0021508; GO:0021510; GO:0021514; GO:0021519; GO:0021520; GO:0021521; GO:0021536; GO:0021546; GO:0021654; GO:0021986; GO:0022008; GO:0030097; GO:0030139; GO:0030182; GO:0030318; GO:0030902; GO:0030903; GO:0031076; GO:0031398; GO:0031410; GO:0032991; GO:0035315; GO:0039022; GO:0042802; GO:0045664; GO:0045685; GO:0045747; GO:0048066; GO:0048259; GO:0048471; GO:0048514; GO:0048546; GO:0048663; GO:0048665; GO:0048666; GO:0048699; GO:0048793; GO:0048859; GO:0048892; GO:0048899; GO:0048916; GO:0048920; GO:0050931; GO:0051865; GO:0060035; GO:0060113; GO:0060216; GO:0060218; GO:0061195; GO:0061551; GO:0061630; GO:0070086; GO:0071599
Q9I879	Q9I879	Q9I879_DANRE	Aryl hydrocarbon receptor nuclear translocator-like 1a (Aryl hydrocarbon receptor nuclear translocator-like 1a isoform X1) (Bmal1)	bmal1a bmal1 wu:fa04g03 zfBMAL1 arntl1a	GO:0000976; GO:0000978; GO:0000981; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0007623; GO:0009416; GO:0009648; GO:0032991; GO:0034751; GO:0045892; GO:0045893; GO:0046983; GO:1901342
Q5RIV1	Q5RIV1	Q5RIV1_DANRE	Circadian locomoter output cycles protein kaput (EC 2.3.1.48) (Circadian locomoter output cycles protein kaput isoform X1) (Clock circadian regulator a)	clock zCLOCK1 zfCLOCK1 clocka	GO:0000785; GO:0000981; GO:0005667; GO:0005737; GO:0006357; GO:0007498; GO:0007623; GO:0009266; GO:0009416; GO:0009648; GO:0010468; GO:0010628; GO:0032922; GO:0032991; GO:0045893; GO:0046983; GO:0060215; GO:0070888; GO:1990513
A4QN37	A4QN37	A4QN37_DANRE	Cry1a protein (Cryptochrome 1a) (Cryptochrome circadian regulator 1a)	cry1aa zgc:153885 cry1a	GO:0003677; GO:0003712; GO:0003714; GO:0005634; GO:0005667; GO:0005737; GO:0007623; GO:0009416; GO:0009649; GO:0032922; GO:0042542; GO:0043153; GO:0045892; GO:0071949
Q7T2P2	Q7T2P2	Q7T2P2_DANRE	deleted		
Q6PEH5	Q6PEH5	UB2V2_DANRE	Ubiquitin-conjugating enzyme E2 variant 2	ube2v2 zgc:63717	GO:0005634; GO:0006301; GO:0070534
Q7T3F3	Q7T3F3	Q7T3F3_DANRE	Ubiquitin-conjugating enzyme E2N-like (Ubiquitin-conjugating enzyme E2Nb)	ube2nl zgc:63901 ube2nb	GO:0000724; GO:0000729; GO:0005524; GO:0005634; GO:0006301; GO:0006974; GO:0016567; GO:0016574; GO:0031372; GO:0033182; GO:0043123; GO:0043130; GO:0045739; GO:0050852; GO:0051092; GO:0051443; GO:0061631; GO:0070534
F1R0M9	F1R0M9	F1R0M9_DANRE	Tudor and KH domain-containing (Tudor and KH domain-containing protein)	TDRD2 zgc:113056 tdrkh	GO:0003723; GO:0007283; GO:0030719; GO:0034587; GO:0043186
D1GJ56	D1GJ56	D1GJ56_DANRE	deleted		
Q90479	Q90479	L1CA2_DANRE	Neural cell adhesion molecule L1.2 (N-CAM-L1.2) (NCAM-L1.2)	nadl1.2	GO:0005886; GO:0007155; GO:0007399; GO:0030154; GO:0044295; GO:0045773
A0A0G2KK51	A0A0G2KK51	A0A0G2KK51_DANRE	deleted		
A9JTB8	Q7SXS7	SETD3_DANRE	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	setd3 zgc:63842	GO:0001558; GO:0003713; GO:0003779; GO:0005737; GO:0008283; GO:0018021; GO:0018023; GO:0018026; GO:0018027; GO:0018064; GO:0030047; GO:0042800; GO:0045893; GO:0045944; GO:0046975
A5PL96	Q6PI20	H33_DANRE	Histone H3.3	h3f3a zgc:56193 zgc:86731; h3f3b.1 zgc:110292; h3-5 h3f3c zgc:64222; h3f3d zgc:56418	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
Q6PI20	Q6PI20	H33_DANRE	Histone H3.3	h3f3a zgc:56193 zgc:86731; h3f3b.1 zgc:110292; h3-5 h3f3c zgc:64222; h3f3d zgc:56418	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
Q7ZV67	Q6PI20	H33_DANRE	Histone H3.3	h3f3a zgc:56193 zgc:86731; h3f3b.1 zgc:110292; h3-5 h3f3c zgc:64222; h3f3d zgc:56418	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
Q7SXS7	Q7SXS7	SETD3_DANRE	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	setd3 zgc:63842	GO:0001558; GO:0003713; GO:0003779; GO:0005737; GO:0008283; GO:0018021; GO:0018023; GO:0018026; GO:0018027; GO:0018064; GO:0030047; GO:0042800; GO:0045893; GO:0045944; GO:0046975
A3KQ57	A3KQ57	A3KQ57_DANRE	deleted		
F1QMG5	F1QMG5	F1QMG5_DANRE	deleted		
A3KQ56	A3KQ56	A3KQ56_DANRE	deleted		
Q29RD1	Q90477	MYOD1_DANRE	Myoblast determination protein 1 homolog (Myogenic factor 1)	myod1 myod	GO:0000978; GO:0000981; GO:0001216; GO:0002074; GO:0005634; GO:0006357; GO:0007517; GO:0007519; GO:0035914; GO:0043282; GO:0045663; GO:0045944; GO:0046983; GO:0048741; GO:0048743; GO:0055002; GO:0070888; GO:0071392; GO:1905382; GO:1990841
Q90477	Q90477	MYOD1_DANRE	Myoblast determination protein 1 homolog (Myogenic factor 1)	myod1 myod	GO:0000978; GO:0000981; GO:0001216; GO:0002074; GO:0005634; GO:0006357; GO:0007517; GO:0007519; GO:0035914; GO:0043282; GO:0045663; GO:0045944; GO:0046983; GO:0048741; GO:0048743; GO:0055002; GO:0070888; GO:0071392; GO:1905382; GO:1990841
Q98TY7	Q90477	MYOD1_DANRE	Myoblast determination protein 1 homolog (Myogenic factor 1)	myod1 myod	GO:0000978; GO:0000981; GO:0001216; GO:0002074; GO:0005634; GO:0006357; GO:0007517; GO:0007519; GO:0035914; GO:0043282; GO:0045663; GO:0045944; GO:0046983; GO:0048741; GO:0048743; GO:0055002; GO:0070888; GO:0071392; GO:1905382; GO:1990841
Q7ZWD8	Q7ZWD8	Q7ZWD8_DANRE	Cfl1 protein (Cofilin 1 (non-muscle),-like) (Non-muscle cofilin 1)	CFL1 cb86 cfl1 sb:cb86 wu:fb18a04 wu:fk77b03 zgc:56501 cfl1l	GO:0005737; GO:0015629; GO:0030043; GO:0051014; GO:0051015
F1Q8A4	F1Q8A4	F1Q8A4_DANRE	deleted		
F1R469	F1R469	F1R469_DANRE	deleted		
Q8JG38	Q8JG38	FGFR2_DANRE	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1)	fgfr2	GO:0003140; GO:0005007; GO:0005524; GO:0005794; GO:0005886; GO:0006468; GO:0006915; GO:0007169; GO:0008284; GO:0017134; GO:0030901; GO:0031410; GO:0033278; GO:0033339; GO:0033674; GO:0035469; GO:0043235; GO:0048565; GO:0051216; GO:0060271; GO:0061371; GO:0071910; GO:1902036
Q6TGV6	Q6TGV6	Q6TGV6_DANRE	Proteasome subunit alpha type	PSMA5 zgc:86851 psma5	GO:0005634; GO:0005737; GO:0010498; GO:0019773; GO:0043161
Q6TNT9	Q6TNT9	Q6TNT9_DANRE	deleted		
F1R3J9	F1R3J9	F1R3J9_DANRE	Protein arginine N-methyltransferase 1 (EC 2.1.1.125) (Protein arginine methyltransferase 1)	fb39h07 hrmt1l2 wu:fb39h07 zf1 zgc:66201 prmt1	GO:0005634; GO:0008757; GO:0016273; GO:0018216; GO:0044020; GO:0060027
Q7ZTZ4	Q7ZTZ4	Q7ZTZ4_DANRE	Fibrillarin (rRNA 2'-O-methyltransferase fibrillarin)	fb37g12 wu:fb37g12 zgc:56145 zgc:77130 fbl	GO:0000494; GO:0003723; GO:0005730; GO:0008649; GO:0015030; GO:0022008; GO:0031167; GO:0031428; GO:0032040; GO:1990258; GO:1990259
Q4V949	Q6PI52	CALM_DANRE	Calmodulin (CaM)	calm1a zgc:63926; calm1b; calm2a calm2d; calm2b zgc:64036; calm3a calm2g zgc:86728; calm3b zgc:76987	GO:0005509
A0A0R4IM91	A0A0R4IM91	A0A0R4IM91_DANRE	Transient receptor potential cation channel, subfamily C, member 4b (Transient receptor potential cation channel, subfamily C, member 4b isoform X1)	trpc4a trpc4b	GO:0005261; GO:0005886; GO:0006812; GO:0015279; GO:0034703; GO:0051480; GO:0070588; GO:0070679
Q6PI52	Q6PI52	CALM_DANRE	Calmodulin (CaM)	calm1a zgc:63926; calm1b; calm2a calm2d; calm2b zgc:64036; calm3a calm2g zgc:86728; calm3b zgc:76987	GO:0005509
A4IGB6	F1RAX4	STRA6_DANRE	Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog)	stra6	GO:0005516; GO:0005886; GO:0016918; GO:0019841; GO:0034632; GO:0034633; GO:0038023; GO:0042802; GO:0043009; GO:0060090; GO:0071939
F1RAX4	F1RAX4	STRA6_DANRE	Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog)	stra6	GO:0005516; GO:0005886; GO:0016918; GO:0019841; GO:0034632; GO:0034633; GO:0038023; GO:0042802; GO:0043009; GO:0060090; GO:0071939
Q1ECX5	F1RAX4	STRA6_DANRE	Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog)	stra6	GO:0005516; GO:0005886; GO:0016918; GO:0019841; GO:0034632; GO:0034633; GO:0038023; GO:0042802; GO:0043009; GO:0060090; GO:0071939
O73874	O73874	EFNB2_DANRE	Ephrin-B2a	efnb2a efnb2	GO:0001568; GO:0001756; GO:0002042; GO:0003404; GO:0005886; GO:0007155; GO:0007411; GO:0007412; GO:0008039; GO:0009952; GO:0021654; GO:0035475; GO:0046875; GO:0048013; GO:0048514; GO:0050920
O13147	O13147	EPHB3_DANRE	Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like kinase 3) (Tyrosine-protein kinase receptor ZEK3)	ephb3 ek3 zek3	GO:0001525; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0007411; GO:0007413; GO:0016477; GO:0022407; GO:0030425; GO:0033674; GO:0034446; GO:0043087; GO:0043235; GO:0046777; GO:0048013; GO:0050770; GO:0051965; GO:0060996; GO:0060997
B3DIW7	O73878	EPB4B_DANRE	Ephrin type-B receptor 4b (EC 2.7.10.1) (Eph receptor B4b) (Eph-like receptor tyrosine kinase rtk8)	ephb4b rtk8	GO:0001525; GO:0001756; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0006468; GO:0033674; GO:0043235; GO:0048013; GO:0070121
F1QR66	O73878	EPB4B_DANRE	Ephrin type-B receptor 4b (EC 2.7.10.1) (Eph receptor B4b) (Eph-like receptor tyrosine kinase rtk8)	ephb4b rtk8	GO:0001525; GO:0001756; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0006468; GO:0033674; GO:0043235; GO:0048013; GO:0070121
O73878	O73878	EPB4B_DANRE	Ephrin type-B receptor 4b (EC 2.7.10.1) (Eph receptor B4b) (Eph-like receptor tyrosine kinase rtk8)	ephb4b rtk8	GO:0001525; GO:0001756; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0006468; GO:0033674; GO:0043235; GO:0048013; GO:0070121
O13148	O13148	EPA4A_DANRE	Ephrin type-A receptor 4a (EC 2.7.10.1) (EPH-like kinase 2) (Tyrosine-protein kinase receptor ZEK2)	epha4a ek2 zek2	GO:0003404; GO:0004714; GO:0005524; GO:0005769; GO:0005886; GO:0006468; GO:0007169; GO:0009952; GO:0009988; GO:0021654; GO:0030517; GO:0030900; GO:0031641; GO:0033674; GO:0043235; GO:0048685; GO:0061053
Q5VSJ4	Q5VSJ4	Q5VSJ4_DANRE	receptor protein-tyrosine kinase (EC 2.7.10.1)	fc51g03 si:dkey-23k6.1 wu:fc51g03 epha7	GO:0005005; GO:0005524; GO:0005886; GO:0006468; GO:0007411; GO:0030425; GO:0048013
A0A2R8QG60	O73875	EPB4A_DANRE	Ephrin type-B receptor 4a (EC 2.7.10.1) (Eph receptor B4a) (Eph-like receptor tyrosine kinase rtk5)	ephb4a rtk5	GO:0001525; GO:0001568; GO:0001945; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0006468; GO:0033674; GO:0035475; GO:0043235; GO:0048013; GO:0048845; GO:0060026
O73875	O73875	EPB4A_DANRE	Ephrin type-B receptor 4a (EC 2.7.10.1) (Eph receptor B4a) (Eph-like receptor tyrosine kinase rtk5)	ephb4a rtk5	GO:0001525; GO:0001568; GO:0001945; GO:0004714; GO:0005003; GO:0005524; GO:0005886; GO:0006468; GO:0033674; GO:0035475; GO:0043235; GO:0048013; GO:0048845; GO:0060026
O13146	O13146	EPHA3_DANRE	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 1) (Tyrosine-protein kinase receptor ZEK1)	epha3 ek1 zek1	GO:0004714; GO:0005004; GO:0005524; GO:0005769; GO:0005886; GO:0006468; GO:0007169; GO:0010717; GO:0016477; GO:0032956; GO:0033674; GO:0043087; GO:0043235; GO:0048013; GO:0051893; GO:0070507; GO:0097155; GO:0097156
A0A0R4IN62	A0A0R4IN62	A0A0R4IN62_DANRE	deleted		
Q58G59	Q58G59	KIF7_DANRE	Kinesin-like protein kif7 (Kinesin-like protein costal2)	kif7 cos2	GO:0003777; GO:0005524; GO:0005737; GO:0005871; GO:0005874; GO:0005929; GO:0007018; GO:0007368; GO:0008017; GO:0016887; GO:0035301; GO:0035845; GO:0045879
Q08CU1	Q32TF8	EFHC2_DANRE	EF-hand domain-containing family member C2	efhc2 zgc:152706	GO:0005879; GO:0010975; GO:0039010; GO:1903251
Q32TF8	Q32TF8	EFHC2_DANRE	EF-hand domain-containing family member C2	efhc2 zgc:152706	GO:0005879; GO:0010975; GO:0039010; GO:1903251
Q6P603	Q6P603	Q6P603_DANRE	deleted		
B0V0Y6	B0V0Y6	B0V0Y6_DANRE	deleted		
B5A7D9	B8A4F4	TDRD9_DANRE	ATP-dependent RNA helicase TDRD9 (EC 3.6.4.13) (Tudor domain-containing protein 9)	tdrd9 si:dkey-15f17.9	GO:0003723; GO:0003724; GO:0004386; GO:0005524; GO:0005634; GO:0007140; GO:0007141; GO:0007283; GO:0009566; GO:0016887; GO:0034587; GO:0071514; GO:0071547; GO:0141006
A1Z661	A2CEI6	PIWL2_DANRE	Piwi-like protein 2 (EC 3.1.26.-)	piwil2 zili si:dkey-88f5.1	GO:0004521; GO:0005634; GO:0005737; GO:0006417; GO:0007276; GO:0007283; GO:0010628; GO:0010991; GO:0030718; GO:0031047; GO:0034584; GO:0034587; GO:0043186; GO:0046872; GO:0048477; GO:0048511; GO:0051321; GO:0071514; GO:0071546; GO:0140965; GO:0141005; GO:1990923
A2CEI6	A2CEI6	PIWL2_DANRE	Piwi-like protein 2 (EC 3.1.26.-)	piwil2 zili si:dkey-88f5.1	GO:0004521; GO:0005634; GO:0005737; GO:0006417; GO:0007276; GO:0007283; GO:0010628; GO:0010991; GO:0030718; GO:0031047; GO:0034584; GO:0034587; GO:0043186; GO:0046872; GO:0048477; GO:0048511; GO:0051321; GO:0071514; GO:0071546; GO:0140965; GO:0141005; GO:1990923
B5A7D8	A2CEI6	PIWL2_DANRE	Piwi-like protein 2 (EC 3.1.26.-)	piwil2 zili si:dkey-88f5.1	GO:0004521; GO:0005634; GO:0005737; GO:0006417; GO:0007276; GO:0007283; GO:0010628; GO:0010991; GO:0030718; GO:0031047; GO:0034584; GO:0034587; GO:0043186; GO:0046872; GO:0048477; GO:0048511; GO:0051321; GO:0071514; GO:0071546; GO:0140965; GO:0141005; GO:1990923
B5U367	A2CEI6	PIWL2_DANRE	Piwi-like protein 2 (EC 3.1.26.-)	piwil2 zili si:dkey-88f5.1	GO:0004521; GO:0005634; GO:0005737; GO:0006417; GO:0007276; GO:0007283; GO:0010628; GO:0010991; GO:0030718; GO:0031047; GO:0034584; GO:0034587; GO:0043186; GO:0046872; GO:0048477; GO:0048511; GO:0051321; GO:0071514; GO:0071546; GO:0140965; GO:0141005; GO:1990923
B8A4F4	B8A4F4	TDRD9_DANRE	ATP-dependent RNA helicase TDRD9 (EC 3.6.4.13) (Tudor domain-containing protein 9)	tdrd9 si:dkey-15f17.9	GO:0003723; GO:0003724; GO:0004386; GO:0005524; GO:0005634; GO:0007140; GO:0007141; GO:0007283; GO:0009566; GO:0016887; GO:0034587; GO:0071514; GO:0071547; GO:0141006
Q9I8X3	Q9I8X3	FGFR3_DANRE	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1)	fgfr3	GO:0005007; GO:0005524; GO:0005886; GO:0006468; GO:0006915; GO:0007169; GO:0008284; GO:0017134; GO:0033674; GO:0043235; GO:0043410; GO:1902036
Q7SX76	Q7SX76	Q7SX76_DANRE	FGF receptor-like protein 1a (Fgfrl1a) (Fibroblast growth factor receptor-like 1 precursor (EC 3.2.1.76)) (Fibroblast growth factor receptor-like 1a)	fgfrl1 zgc:64084 fgfrl1a	GO:0005007; GO:0005886; GO:0016020; GO:0017134; GO:0021592; GO:0021670; GO:0021678; GO:0048565; GO:0048592; GO:0048794; GO:0051216
M9MMA0	M9MMA0	M9MMA0_DANRE	deleted		
A1L1P1	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
B0R127	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
O42377	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
P79743	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
Q8AXB3	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
Q8UUW9	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
Q98891	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
Q9PTL0	Q8AXB3	VGFR4_DANRE	Vascular endothelial growth factor receptor kdr-like (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor-A) (Kinase insert domain receptor-like) (Protein-tyrosine kinase receptor flk-1) (Vascular endothelial growth factor receptor 4) (VEGFR-4)	kdrl flk flk-1 flk1 flka kdr kdra vegfr2 vegfr4 vegr2 si:ch211-276g21.4	GO:0001525; GO:0001568; GO:0001946; GO:0002040; GO:0004713; GO:0005021; GO:0005524; GO:0005886; GO:0007169; GO:0018108; GO:0030154; GO:0030878; GO:0033674; GO:0035050; GO:0043235; GO:0048844
Q76KA4	Q7ZU99	TERA_DANRE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (Protein CDC48) (Valosin-containing protein) (VCP)	vcp cdc48 si:ch211-113n10.2	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006914; GO:0006974; GO:0007626; GO:0008289; GO:0010506; GO:0016236; GO:0016567; GO:0016887; GO:0019985; GO:0030239; GO:0030433; GO:0030970; GO:0031593; GO:0032434; GO:0032510; GO:0034098; GO:0034976; GO:0035861; GO:0036297; GO:0036503; GO:0043009; GO:0043161; GO:0051228; GO:0055013; GO:0060047; GO:0071712; GO:0097352; GO:1905634; GO:2000058
