string_protein_id	preferred_name	protein_size	annotation
224308.BSU11200	argJ	406	Ornithine acetyltransferase; Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of N-acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate.
224308.BSU11210	argB	258	N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase); Catalyzes the ATP-dependent phosphorylation of N-acetyl-L- glutamate; Belongs to the acetylglutamate kinase family. ArgB subfamily.
224308.BSU11220	argD	385	N-acetylornithine aminotransferase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family. ArgD subfamily.
224308.BSU11230	carA	353	Arginine-specific carbamoyl-phosphate synthetase (small subunit); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme.
224308.BSU11240	carB	1030	Arginine-specific carbamoyl-phosphate synthetase (large subunit); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme; Belongs to the CarB family.
224308.BSU11250	argF	319	Ornithine carbamoyltransferase; Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline; Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family.
224308.BSU11260	yjzC	59	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11270	yjzD	61	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11280	yjaU	244	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11290	yjaV	185	Putative NAD(P) binding enzyme; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme.
224308.BSU11300	med	317	Positive regulator of comK; Positive activator of the comK gene; Belongs to the BMP lipoprotein family.
224308.BSU11310	comZ	63	Putative late competence gene; Negatively regulates the transcription of the comG operon.
224308.BSU11320	yjzB	79	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 16391061.
224308.BSU11330	fabHA	312	Beta-ketoacyl-acyl carrier protein synthase III 1; Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Has some substrate specificity for branched chain acyl-CoA, determining the biosynthesis of branched-chain of fatty acids instead of straight-chain.
224308.BSU11340	fabF	413	Beta-ketoacyl-acyl carrier protein synthase II; Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
224308.BSU11350	yjaZ	261	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11360	appD	328	Oligopeptide ABC transporter (ATP-binding protein); This protein is a component of an oligopeptide permease, a binding protein-dependent transport system. This APP system can completely substitute for the OPP system in both sporulation and genetic competence, though, unlike OPP, is incapable of transporting tripeptides. Probably responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily.
224308.BSU11370	appF	329	Oligopeptide ABC transporter (ATP-binding protein); This protein is a component of an oligopeptide permease, a binding protein-dependent transport system. This APP system can completely substitute for the OPP system in both sporulation and genetic competence, though, unlike OPP, is incapable of transporting tripeptides. Probably responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily.
224308.BSU11390	appB	316	Oligopeptide ABC transporter (oligopeptide-binding lipoprotein); This protein is a component of an oligopeptide permease, a binding protein-dependent transport system. This APP system can completely substitute for the OPP system in both sporulation and genetic competence, though, unlike OPP, is incapable of transporting tripeptides. Probably responsible for the translocation of the substrate across the membrane (By similarity); Belongs to the binding-protein-dependent transport system permease family. OppBC subfamily.
224308.BSU11400	appC	303	Oligopeptide ABC transporter (permease); This protein is a component of an oligopeptide permease, a binding protein-dependent transport system. This APP system can completely substitute for the OPP system in both sporulation and genetic competence, though, unlike OPP, is incapable of transporting tripeptides. Probably responsible for the translocation of the substrate across the membrane (By similarity); Belongs to the binding-protein-dependent transport system permease family. OppBC subfamily.
224308.BSU11410	yjbA	250	Putative nucleic acid binding protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf: putative factor; Belongs to the UPF0736 family.
224308.BSU11420	trpS	330	tryptophanyl-tRNA synthetase; Catalyzes the attachment of tryptophan to tRNA(Trp). Belongs to the class-I aminoacyl-tRNA synthetase family.
224308.BSU11430	oppA	545	Oligopeptide ABC transporter (binding lipoprotein); This protein is a component of the oligopeptide permease, a binding protein-dependent transport system, It binds peptides up to five amino acids long with high affinity. Also required for sporulation and competence.
224308.BSU11440	oppB	311	Oligopeptide ABC transporter (permease); Part of the binding-protein-dependent transport system for oligopeptides; probably responsible for the translocation of the substrate across the membrane. Also required for sporulation and competence.
224308.BSU11450	oppC	305	Oligopeptide ABC transporter (permease); Part of the binding-protein-dependent transport system for oligopeptides; probably responsible for the translocation of the substrate across the membrane. Also required for sporulation and competence.
224308.BSU11460	oppD	358	Oligopeptide ABC transporter (ATP-binding protein); Part of the binding protein-dependent transport system for oligopeptides. Probably responsible for energy coupling to the transport system. Required for sporulation and competence.
224308.BSU11470	oppF	305	Oligopeptide ABC transporter (ATP-binding protein); Component of the oligopeptide permease, a binding protein- dependent transport system. Necessary for genetic competence but not sporulation. Probably responsible for energy coupling to the transport system.
224308.BSU11480	yjbB	405	Putative exporter; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter.
224308.BSU11490	yjbC	192	Putative thiol oxidation management factor; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11500	spxA	131	Redox-sensitive regulator enzyme; Interferes with activator-stimulated transcription by interaction with the RNA polymerase alpha-CTD. May function to globally reduce transcription of genes involved in growth- and development- promoting processes and to increase transcription of genes involved in thiol homeostasis, during periods of extreme stress. Negatively affects competence and sporulation. Its degradation by the MecA/ClpXP complex is needed for competence development; Belongs to the ArsC family. Spx subfamily.
224308.BSU11510	yjbE	218	Putative transporter component; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter.
224308.BSU11520	mecA	218	Adaptor protein controlling oligomerization of the AAA+ protein ClpC; Enables the recognition and targeting of unfolded and aggregated proteins to the ClpC protease or to other proteins involved in proteolysis. Acts negatively in the development of competence by binding ComK and recruiting it to the ClpCP protease. When overexpressed, inhibits sporulation. Also involved in Spx degradation by ClpC.
224308.BSU11530	coiA	373	Protein involved in establishment of DNA transport in competence; Required for optimal transformation.
224308.BSU11540	pepF	670	Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme.
224308.BSU11549	yizD	55	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11550	yjbH	299	Putative thiol management oxidoreductase component; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11560	yjbI	132	Putative thiol management oxidoreductase component; Hemoglobin-like protein that exhibits a low peroxidase activity. Its very high oxygen affinity may rule out the possibility that it is involved in oxygen transport.
224308.BSU11570	yjbJ	181	Putative murein lytic transglycosylase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the transglycosylase Slt family.
224308.BSU11580	yjbK	190	Putative RNA/thiamine triphosphatase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11590	yjbL	122	Putative phosphatase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the UPF0738 family.
224308.BSU11600	relP	211	(p)ppGpp synthetase; Functions as a (p)ppGpp synthase; GDP can be used instead of GTP, resulting in an increase of (p)ppGpp synthesis. The enzyme binds ATP, then GDP or GTP and catalysis is highly cooperative. In eubacteria ppGpp (guanosine 3'- diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance. Probably has a minor role in the stringent response ; Belongs to the RelA/SpoT family.
224308.BSU11610	ppnKA	266	Inorganic polyphosphate/ATP-NAD kinase; Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP. It can use ATP and other nucleoside triphosphates (GTP, UTP) as well as inorganic polyphosphate (poly(P)) as a source of phosphorus.
224308.BSU11620	yjbO	283	Pseudouridylate synthase; Evidence 2b: Function of strongly homologous gene; Product type e: enzyme.
224308.BSU11630	prpE	244	Phosphorylated protein phosphatase E and diadenosine-polyphosphate hydrolase; Asymmetrically hydrolyzes Ap4p to yield AMP and ATP. Does not hydrolyze Ap2a or Ap6A. Also has an ATPase activity. Was shown to dephosphorylate phosphotyrosine but not phosphoserine or phosphothreonine from phosphorylated peptides. Involved in spore germination by controlling expression of genes coding for GerA and GerK receptors.
224308.BSU11640	yjbQ	614	Putative Na+/H+ antiporter; Probable Na(+)/H(+) antiporter; Belongs to the monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family.
224308.BSU11650	tenA	236	Thiaminase II; Catalyzes an amino-pyrimidine hydrolysis reaction at the C5' of the pyrimidine moiety of thiamine compounds, a reaction that is part of a thiamine salvage pathway. Thus, catalyzes the conversion of 4- amino-5-aminomethyl-2-methylpyrimidine to 4-amino-5-hydroxymethyl-2- methylpyrimidine (HMP). To a lesser extent, is also able to catalyze the hydrolytic cleavage of thiamine; however, this thiaminase activity is unlikely to be physiologically relevant. Therefore, is involved in the regeneration of the thiamine pyrimidine from thiamine degraded products present in the enviro [...] 
224308.BSU11660	tenI	205	Thiazole tautomerase; Catalyzes the irreversible aromatization of 2-((2R,5Z)-2- carboxy-4-methylthiazol-5(2H)-ylidene)ethyl phosphate (cThz*-P) to 2- (2-carboxy-4-methylthiazol-5-yl)ethyl phosphate (cThz-P), a step in the biosynthesis of the thiazole phosphate moiety of thiamine. Cannot use cThz* as substrate, indicating that the phosphate group is essential. Has no thiamine phosphate synthase activity, despite a high sequence similarity with ThiE.
224308.BSU11670	thiO	369	FAD-dependent glycine oxidase; Catalyzes the FAD-dependent oxidative deamination of various amines and D-amino acids to yield the corresponding alpha-keto acids, ammonia/amine, and hydrogen peroxide. Oxidizes sarcosine (N- methylglycine), N-ethylglycine and glycine. Can also oxidize the herbicide glyphosate (N-phosphonomethylglycine). Displays lower activities on D-alanine, D-valine, D-proline and D-methionine. Does not act on L-amino acids and other D-amino acids. Is essential for thiamine biosynthesis since the oxidation of glycine catalyzed by ThiO generates the glycine imine interm [...] 
224308.BSU11680	thiS	66	Sulfur carrier for synthesis of hydroxyethylthiazole phosphate; Is the sulfur donor in the synthesis of the thiazole phosphate moiety of thiamine phosphate; Belongs to the sulfur carrier protein ThiS family.
224308.BSU11690	thiG	256	Hydroxyethylthiazole phosphate synthetase (thiamine biosynthesis); Catalyzes the rearrangement of 1-deoxy-D-xylulose 5-phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S.
224308.BSU11700	thiF	336	Adenylate transferase and sulfur transferase (thiamine biosynthesis); Catalyzes the adenylation by ATP of the carboxyl group of the C-terminal glycine of sulfur carrier protein ThiS; Belongs to the HesA/MoeB/ThiF family.
224308.BSU11710	thiD	271	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase; Catalyzes the phosphorylation of hydroxymethylpyrimidine phosphate (HMP-P) to HMP-PP, and of HMP to HMP-P. Shows no activity with pyridoxal, pyridoxamine or pyridoxine.
224308.BSU11720	fabI	258	Enoyl-acyl carrier protein reductase; Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). Involved in the elongation cycle of fatty acid which are used in the lipid metabolism.
224308.BSU11730	cotO	227	Spore outer coat protein; Has an important morphogenetic role. Involved in the assembly of at least five coat proteins, including CotB, CotG, CotS, CotSA and CotW. Required for appearance of a morphologically normal outer coat. To a large degree, CotO and CotH act at a late stage of coat assembly from within the outer coat to direct maturation of this structure.
224308.BSU11740	cotZ	148	Spore coat protein (insoluble fraction, outermost layer); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type s: structure.
224308.BSU11750	cotY	162	Outer spore coat protein (insoluble fraction); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type cp: cell process.
224308.BSU11760	cotX	172	Spore coat protein (insoluble fraction); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type cp: cell process.
224308.BSU11770	cotW	105	Spore coat protein (insoluble fraction); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type cp: cell process.
224308.BSU11780	cotV	128	Spore coat protein (insoluble fraction); Evidence 1a: Function experimentally demonstrated in the studied strain; Product type cp: cell process.
224308.BSU11790	yjcA	118	Sporulation-specific protein; Involved in sporulation.
224308.BSU11799	yjzK	68	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11809	yjcZ	49	Putative type I toxin; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin.
224308.BSU11810	spoVIF	84	Sporulation-specific protein needed for heat resistance; Transcription factor involved in spore coat assembly and spore resistance. Regulates the transcription of at least cgeA, cotG and cotS.
224308.BSU11820	yjcD	759	Putative ATP-dependent DNA helicase; May be involved in the generation of recombinogenic substrates for the subsequent action of RecA.
224308.BSU11839	yjzE	84	Hypothetical protein; Evidence 5: No homology to any previously reported sequences; PubMedId: 11976315.
224308.BSU11840	yjcF	140	Putative acetyltransferase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the acetyltransferase family.
224308.BSU11850	yjcG	171	Putative RNA ligase or phosphoesterase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11860	yjcH	240	Putative hydrolase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11870	metI	373	Cystathionine gamma-synthase and O-acetylhomoserine thiolyase; Catalyzes the formation of L-cystathionine from O-acetyl-L- homoserine and L-cysteine. Cannot use O-succinyl-L-homoserine as substrate. Also exhibits O-acetylhomoserine thiolyase activity, catalyzing the synthesis of L-homocysteine from O-acetyl-L-homoserine and sulfide.
224308.BSU11880	metC	390	Cystathionine beta-lyase; Catalyzes the transformation of cystathionine into homocysteine. Also exhibits cysteine desulfhydrase activity in vitro, producing sulfide from cysteine; Belongs to the trans-sulfuration enzymes family.
224308.BSU11890	yjcK	181	Putative ribosomal-protein-alanine N-acetyltransferase; Acetylates the N-terminal alanine of ribosomal protein S5.
224308.BSU11900	yjcL	396	Putative integral inner membrane protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pm: putative membrane component.
224308.BSU11910	yjcM	409	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11920	yjcN	106	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11928	yjzF	43	Hypothetical protein; Evidence 5: No homology to any previously reported sequences.
224308.BSU11929	yjzG	57	Hypothetical protein; Evidence 5: No homology to any previously reported sequences.
224308.BSU11930	yjcO	153	Putative DNA binding protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr: putative regulator.
224308.BSU11940	yjcP	167	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535.
224308.BSU11950	yjcQ	94	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535.
224308.BSU11960	yjcR	175	Putative phage-related nucleic acid binding terminase small subunit; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU11970	yjcS	105	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU11980	yjdA	251	Putative acyl-carrier protein oxidoreductase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
224308.BSU11990	yjdB	115	Putative exported protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin.
224308.BSU12000	manR	648	Transcriptional antiterminator; Positively regulates the expression of the mannose operon that consists of three genes, manP, manA, and yjdF, which are responsible for the transport and utilization of mannose. Also activates its own expression.
224308.BSU12010	manP	650	Phosphotransferase system (PTS) mannose-specific enzyme IIBCA component; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. This system is involved in mannose transport.
224308.BSU12020	manA	315	Mannose-6 phosphate isomerase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme; Belongs to the mannose-6-phosphate isomerase type 1 family.
224308.BSU12030	yjdF	160	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 20139185.
224308.BSU12040	yjdG	168	Putative acetyltransferase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the acetyltransferase family.
224308.BSU12050	yjdH	131	Hypothetical protein; Evidence 5: No homology to any previously reported sequences.
224308.BSU12060	trnE	159	tRNA editing protein; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the prolyl-tRNA editing family. YbaK/EbsC subfamily.
224308.BSU12069	yjzH	64	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12070	yjdJ	109	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12080	ctaO	329	Minor protoheme IX farnesyltransferase 1 (heme O synthase); Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group.
224308.BSU12090	cotT	82	Spore coat protein (inner coat); Inner spore coat protein which seems to play a role in germination.
224308.BSU12100	pdaC	467	N-acetylmuramic acid deacetylase; Catalyzes the deacetylation of N-acetylmuramic acid (MurNAc) residues in peptidoglycan, a modification that confers resistance to lysosyme. Is not able to deacetylate N-acetylglucosamine (GlcNAc) residues in peptidoglycan, but can deacylate chitin oligomers such as GlcNAc4 and GlcNAc5. Is essentially not active toward chitosan (partially deacetylated GlcNAc polymer) and has very low activity toward chitin (GlcNAc polymer). Does not deacetylate GlcNAc. In the N-terminal section; belongs to the RsiV family.
224308.BSU12110	yjfA	157	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12120	yjfB	55	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535.
224308.BSU12130	yjfC	299	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12140	yjgA	132	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15849754, 16850406.
224308.BSU12150	yjgB	191	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 1580552.
224308.BSU12160	yjgC	985	Putative formate dehydrogenase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU12170	yjgD	186	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12180	yjhA	213	Putative lipoprotein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type lp: lipoprotein.
224308.BSU12190	yjhB	208	Putative ADP-ribose pyrophosphatase; Probably mediates the hydrolysis of some nucleoside diphosphate derivatives.
224308.BSU12200	yjiA	92	Hypothetical protein; Evidence 5: No homology to any previously reported sequences.
224308.BSU12210	yjiB	396	Putative monooxygenase (cytochrome P450); Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU12220	yjiC	392	Putative glycosyltransferase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the UDP-glycosyltransferase family.
224308.BSU12229	yjzI	62	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12230	yjjA	270	Putative enzyme; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU12240	yjkA	250	Putative ABC transporter (permease); Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter.
224308.BSU12250	yjkB	250	Putative phosphate ABC transporter (ATP-binding protein); Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter; Belongs to the ABC transporter superfamily.
224308.BSU12260	yjlA	324	Putative permease; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter.
224308.BSU12270	yjlB	165	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 10704478.
224308.BSU12280	yjlC	140	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 17015645.
224308.BSU12290	ndh	392	NADH dehydrogenase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme; Belongs to the NADH dehydrogenase family.
224308.BSU12300	uxaC	473	Galacturonate isomerase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme.
224308.BSU12310	exuM	459	Putative Na+:altronate/mannonate symporter; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type t: transporter.
224308.BSU12320	yjmC	337	Putative oxidoreductase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU12330	yjmD	339	Putative oxidoreductase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU12340	uxuA	359	D-mannonate dehydratase; Catalyzes the dehydration of D-mannonate; Belongs to the mannonate dehydratase family.
224308.BSU12350	uxuB	278	Fructuronate reductase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; enzyme; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
224308.BSU12360	exuT	422	Hexuronate transporter; Aldohexuronate transport system; Belongs to the major facilitator superfamily. Phthalate permease family.
224308.BSU12370	exuR	333	Transcriptional regulator (LacI family); Transcriptional repressor for the exu locus which is required for galacturonate utilization.
224308.BSU12380	uxaB	480	Tagaturonate reductase (altronate oxidoreductase); Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the mannitol dehydrogenase family. UxaB subfamily.
224308.BSU12390	uxaA	497	Altronate hydrolase; Catalyzes the dehydration of D-altronate; Belongs to the UxaA family.
224308.BSU12400	yjnA	254	Putative integral inner membrane protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pm: putative membrane component.
224308.BSU12410	yjoA	154	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12420	yjoB	423	ATPase possibly involved in protein degradation; Shows ATPase activity.
224308.BSU12430	rapA	378	Response regulator aspartate phosphatase; Prevents sporulation by dephosphorylating Spo0F. Belongs to the RAP family.
224308.BSU12440	phrA	44	Secreted inhibitor of the activity of phosphatase RapA; Inhibitor of the activity of phosphatase RapA.
224308.BSU12450	yjpA	85	Putative enzyme; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme; Belongs to the YciI family.
224308.BSU12460	xlyB	317	N-acetylmuramoyl-L-alanine amidase; Autolysins are involved in some important biological processes such as cell separation, cell-wall turnover, competence for genetic transformation, formation of the flagella and sporulation.
224308.BSU12470	yjqA	125	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; Product type h: extrachromosomal origin.
224308.BSU12480	yjqB	200	Putative PBSX phage-related replication protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin; Belongs to the UPF0714 family.
224308.BSU12490	yjqC	278	Putative PBSX phage manganese-containing catalase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin; Belongs to the manganese catalase family.
224308.BSU12500	xkdA	198	PBSX phage protein, putative peptidase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type h: extrachromosomal origin; To B.subtilis YqaB.
224308.BSU12510	xre	113	Phage PBSX transcriptional regulator; Repressor of PBSX. Binds to four sites close to its own gene. Necessary for the maintenance of the lysogenic state.
224308.BSU12519	yjzJ	59	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12520	xkdB	278	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqaL.
224308.BSU12530	xkdC	266	Conserved hypothetical protein in PBSX phage element; May function as a transcriptional antiterminator.
224308.BSU12539	ykzK	55	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12540	xkdD	116	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12550	xtrA	68	PBSX phage protein, homolog of YqaO of the skin element; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type h: extrachromosomal origin; To B.subtilis YqaO.
224308.BSU12560	xpf	169	Putative RNA polymerase PBSX sigma factor-like; Positive regulatory protein that acts at the late promoter PL.
224308.BSU12570	xtmA	265	PBSX defective prophage terminase (small subunit); Functions as a terminase; To B.subtilis YqaS and B.subtilis phage SPP1 terminase small subunit.
224308.BSU12580	xtmB	433	PBSX defective prophage terminase (large subunit); Functions as a terminase; To B.subtilis YqaT and phage SPP1 terminase large subunit.
224308.BSU12590	xkdE	495	Putative phage capsid protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type ps: putative structure; Belongs to the phage portal family. PBSX subfamily.
224308.BSU12600	xkdF	275	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbD.
224308.BSU12610	xkdG	311	Putative capsid protein of PBSX prophage; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type ps: putative structure.
224308.BSU12619	ykzL	127	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12620	xkdH	118	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbH.
224308.BSU12630	xkdI	161	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbI.
224308.BSU12640	xkdJ	146	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbJ.
224308.BSU12649	ykzM	72	Conserved hypothetical protein from phage origin; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU12650	xkdK	466	Conserved hypothetical protein in phage element PBSX; Evidence 4: Homologs of previously reported genes of unknown function; Belongs to the myoviridae tail sheath protein family.
224308.BSU12660	xkdM	147	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbM.
224308.BSU12671	xkdN	148	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; To B.subtilis YqbN.
224308.BSU12672	xkzB	49	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
